ナンバーズ３４,データダウンロードサービス,http://toe.jp/numbers34/,,,,,,,,,,
回別,抽選日,当せん番号,ストレート口数,ストレート金額,ボックス口数,ボックス金額,セットストレート口数,セットストレート金額,セットボックス口数,セットボックス金額,ミニ口数,ミニ金額
第4841回,01/24(水),92,78,"91,600",430,"15,200",177,"53,400",823,"7,600",402,"9,100"
第4840回,01/23(火),327,105,"56,900",691,"9,400",310,"33,100","1,329","4,700",543,"5,600"
第4839回,01/22(月),122,320,"39,500",563,"13,100",599,"26,300",497,"6,500",742,"3,900"
第4838回,01/19(金),955,49,"99,200",251,"33,000",144,"66,100",296,"16,500","1,064","9,900"
第4837回,01/18(木),916,110,"69,100",527,"11,500",331,"40,300","1,037","5,700",497,"6,900"
第4836回,01/17(水),873,70,"80,700",509,"13,400",248,"47,000","1,079","6,700",441,"8,000"
第4835回,01/16(火),368,85,"73,200",615,"12,200",260,"42,700","1,067","6,100",651,"7,300"
第4834回,01/15(月),881,70,"127,600",242,"42,500",140,"85,000",382,"21,200",508,"12,700"
第4833回,01/12(金),413,108,"78,400",517,"13,000",254,"45,700","1,099","6,500",483,"7,800"
第4832回,01/11(木),223,133,"67,900",341,"22,600",285,"45,200",340,"11,300",597,"6,700"
第4831回,01/10(水),634,125,"73,200",517,"12,200",304,"42,700",985,"6,100",475,"7,300"
第4830回,01/09(火),930,90,"95,300",475,"15,800",180,"55,500",890,"7,900",356,"9,500"
第4829回,01/08(月),976,81,"111,400",598,"18,500",149,"64,900","1,095","9,200",509,"11,100"
第4828回,01/05(金),384,79,"96,500",450,"16,000",208,"56,200",822,"8,000",442,"9,600"
第4827回,01/04(木),858,62,"119,400",262,"39,800",144,"79,600",237,"19,900",574,"11,900"
第4826回,2017/12/29(金),842,73,"95,700",655,"15,900",158,"55,800","1,350","7,900",522,"9,500"
第4825回,12/28(木),591,63,"112,500",398,"18,700",149,"65,600",952,"9,300",427,"11,200"
第4824回,12/27(水),372,77,"81,300",640,"13,500",185,"47,400","1,428","6,700",461,"8,100"
第4823回,12/26(火),809,116,"52,800",818,"8,800",453,"30,800","1,533","4,400",544,"5,200"
第4822回,12/25(月),720,94,"102,000",530,"17,000",231,"59,500","1,047","8,500",416,"10,200"
第4821回,12/22(金),288,43,"134,600",201,"44,800",99,"89,700",295,"22,400",584,"13,400"
第4820回,12/21(木),663,48,"127,900",228,"42,600",112,"85,200",255,"21,300",456,"12,700"
第4819回,12/20(水),351,96,"68,200",751,"11,300",233,"39,700","1,506","5,600",560,"6,800"
第4818回,12/19(火),162,41,"95,800",605,"15,900",128,"55,800","1,390","7,900",392,"9,500"
第4817回,12/18(月),325,186,"67,600",792,"11,200",309,"39,400","1,192","5,600",656,"6,700"
第4816回,12/15(金),542,41,"123,800",487,"20,600",116,"72,200","1,111","10,300",355,"12,300"
第4815回,12/14(木),78,50,"118,700",325,"19,700",122,"69,200",733,"9,800",461,"11,800"
第4814回,12/13(水),43,53,"122,700",357,"20,400",111,"71,500",744,"10,200",375,"12,200"
第4813回,12/12(火),276,47,"97,900",434,"16,300",180,"57,100",948,"8,100",326,"9,700"
第4812回,12/11(月),278,95,"79,800",629,"13,300",232,"46,500","1,250","6,600",751,"7,900"
第4811回,12/08(金),937,34,"116,300",354,"19,300",120,"67,800","1,071","9,600",495,"11,600"
第4810回,12/07(木),618,120,"67,800",491,"11,300",296,"39,500",911,"5,600",406,"6,700"
第4809回,12/06(水),218,89,"69,700",524,"11,600",254,"40,600","1,101","5,800",581,"6,900"
第4808回,12/05(火),233,42,"125,200",198,"41,700",81,"83,400",253,"20,800",562,"12,500"
第4807回,12/04(月),945,70,"93,900",653,"15,600",205,"54,700","1,085","7,800",422,"9,300"
第4806回,12/01(金),242,45,"122,900",254,"40,900",97,"81,900",374,"20,400",361,"12,200"
第4805回,11/30(木),820,73,"90,900",423,"15,100",222,"53,000",800,"7,500",333,"9,000"
第4804回,11/29(水),782,61,"83,000",536,"13,800",193,"48,400","1,148","6,900",371,"8,300"
第4803回,11/28(火),261,72,"89,000",500,"14,800",116,"51,900","1,037","7,400",582,"8,900"
第4802回,11/27(月),173,75,"90,000",679,"15,000",177,"52,500","1,374","7,500",398,"9,000"
第4801回,11/24(金),177,124,"88,000",219,"29,300",136,"58,600",307,"14,600",624,"8,800"
第4800回,11/23(木),794,66,"95,300",375,"15,800",159,"55,500",772,"7,900",292,"9,500"
第4799回,11/22(水),609,74,"81,000",483,"13,500",226,"47,200",873,"6,700",408,"8,100"
第4798回,11/21(火),176,66,"101,800",397,"16,900",135,"59,300",883,"8,400",282,"10,100"
第4797回,11/20(月),891,89,"82,800",639,"13,800",220,"48,300","1,427","6,900",303,"8,200"
第4796回,11/17(金),434,46,"121,600",222,"40,500",92,"81,000",259,"20,200",660,"12,100"
第4795回,11/16(木),754,47,"123,600",391,"20,600",95,"72,100",740,"10,300",377,"12,300"
第4794回,11/15(水),385,139,"52,800",747,"8,800",373,"30,800","1,523","4,400",435,"5,200"
第4793回,11/14(火),523,105,"73,400",410,"12,200",241,"42,800",842,"6,100",477,"7,300"
第4792回,11/13(月),732,75,"75,100",805,"12,500",242,"43,800","1,558","6,200",596,"7,500"
第4791回,11/10(金),621,107,"68,700",582,"11,400",242,"40,000","1,168","5,700",708,"6,800"
第4790回,11/09(木),836,40,"99,400",477,"16,500",155,"57,900","1,014","8,200",397,"9,900"
第4789回,11/08(水),714,96,"66,100",563,"11,000",320,"38,500","1,074","5,500",326,"6,600"
第4788回,11/07(火),496,40,"114,800",393,"19,100",142,"66,900",868,"9,500",281,"11,400"
第4787回,11/06(月),996,72,"130,500",231,"43,500",123,"87,000",252,"21,700",451,"13,000"
第4786回,11/03(金),221,113,"69,700",310,"23,200",233,"46,400",374,"11,600",553,"6,900"
第4785回,11/02(木),501,82,"77,700",590,"12,900",230,"45,300","1,023","6,400",573,"7,700"
第4784回,11/01(水),46,54,"122,300",313,"20,300",141,"71,300",629,"10,100",473,"12,200"
第4783回,10/31(火),23,68,"82,300",566,"13,700",195,"48,000","1,084","6,800",492,"8,200"
第4782回,10/30(月),205,95,"103,600",487,"17,200",176,"60,400",871,"8,600",394,"10,300"
第4781回,10/27(金),830,89,"94,800",440,"15,800",201,"55,300",945,"7,900",277,"9,400"
第4780回,10/26(木),72,93,"75,400",531,"12,500",247,"43,900","1,061","6,200",463,"7,500"
第4779回,10/25(水),921,92,"80,200",477,"13,300",222,"46,700",915,"6,600",409,"8,000"
第4778回,10/24(火),252,71,"91,700",244,"30,500",163,"61,100",372,"15,200",338,"9,100"
第4777回,10/23(月),71,72,"100,300",567,"16,700",129,"58,500","1,096","8,300",531,"10,000"
第4776回,10/20(金),420,107,"73,600",490,"12,200",267,"42,900",933,"6,100",613,"7,300"
第4775回,10/19(木),227,116,"66,700",324,"22,200",243,"44,400",317,"11,100",494,"6,600"
第4774回,10/18(水),21,35,"122,400",441,"20,400",92,"71,400",910,"10,200",411,"12,200"
第4773回,10/17(火),219,79,"80,700",484,"13,400",216,"47,000","1,133","6,700",420,"8,000"
第4772回,10/16(月),236,123,"68,400",663,"11,400",295,"39,900","1,445","5,700",679,"6,800"
第4771回,10/13(金),394,66,"105,100",455,"17,500",152,"61,300",954,"8,700",444,"10,500"
第4770回,10/12(木),933,59,"100,100",266,"33,300",109,"66,700",279,"16,600",596,"10,000"
第4769回,10/11(水),85,48,"121,100",417,"20,100",88,"70,600",876,"10,000",284,"12,100"
第4768回,10/10(火),925,74,"97,600",323,"16,200",191,"56,900",612,"8,100",298,"9,700"
第4767回,10/09(月),187,82,"84,400",528,"14,000",193,"49,200","1,038","7,000",588,"8,400"
第4766回,10/06(金),656,45,"123,500",197,"41,100",103,"82,300",265,"20,500",515,"12,300"
第4765回,10/05(木),870,47,"118,700",361,"19,700",136,"69,200",730,"9,800",383,"11,800"
第4764回,10/04(水),925,163,"67,100",405,"11,100",289,"39,100",817,"5,500",358,"6,700"
第4763回,10/03(火),679,59,"108,800",360,"18,100",173,"63,400",661,"9,000",284,"10,800"
第4762回,10/02(月),321,126,"61,100","1,053","10,100",293,"35,600","1,602","5,000",561,"6,100"
第4761回,09/29(金),573,103,"86,500",598,"14,400",154,"50,400","1,083","7,200",425,"8,600"
第4760回,09/28(木),347,77,"88,900",403,"14,800",190,"51,800",898,"7,400",353,"8,800"
第4759回,09/27(水),228,103,"83,100",238,"27,700",203,"55,400",233,"13,800",441,"8,300"
第4758回,09/26(火),214,83,"79,900",471,"13,300",216,"46,600",883,"6,600",505,"7,900"
第4757回,09/25(月),313,153,"75,400",313,"25,100",244,"50,200",378,"12,500",572,"7,500"
第4756回,09/22(金),222,536,"55,700",0,0,0,0,0,0,731,"5,500"
第4755回,09/21(木),276,55,"119,800",357,"19,900",113,"69,800",760,"9,900",303,"11,900"
第4754回,09/20(水),684,53,"127,800",324,"21,300",90,"74,500",739,"10,600",335,"12,700"
第4753回,09/19(火),5,74,"113,400",195,"37,800",96,"75,600",230,"18,900",427,"11,300"
第4752回,09/18(月),372,71,"87,600",582,"14,600",159,"51,100","1,166","7,300",606,"8,700"
第4751回,09/15(金),132,102,"67,000",657,"11,100",300,"39,000","1,222","5,500",413,"6,700"
第4750回,09/14(木),648,60,"99,000",410,"16,500",147,"57,700",870,"8,200",479,"9,900"
第4749回,09/13(水),302,82,"81,700",449,"13,600",230,"47,600",911,"6,800",472,"8,100"
第4748回,09/12(火),147,73,"74,900",570,"12,400",227,"43,600","1,106","6,200",338,"7,400"
第4747回,09/11(月),199,126,"74,700",413,"24,900",204,"49,800",489,"12,400",738,"7,400"
第4746回,09/08(金),707,83,"96,900",255,"32,300",166,"64,600",281,"16,100",502,"9,600"
第4745回,09/07(木),297,52,"83,900",585,"13,900",176,"48,900","1,222","6,900",483,"8,300"
第4744回,09/06(水),301,104,"76,700",481,"12,700",197,"44,700",889,"6,300",679,"7,600"
第4743回,09/05(火),58,68,"105,900",401,"17,600",134,"61,700",827,"8,800",369,"10,500"
第4742回,09/04(月),630,125,"85,400",578,"14,200",233,"49,800",982,"7,100",524,"8,500"
第4741回,09/01(金),906,106,"83,800",445,"13,900",232,"48,800",822,"6,900",563,"8,300"
第4740回,08/31(木),7,84,"88,700",323,"29,500",176,"59,100",300,"14,700",388,"8,800"
第4739回,08/30(水),862,45,"105,400",475,"17,500",138,"61,400","1,098","8,700",323,"10,500"
第4738回,08/29(火),153,85,"75,000",642,"12,500",197,"43,700","1,318","6,200",302,"7,500"
第4737回,08/28(月),185,70,"95,900",655,"15,900",173,"55,900","1,311","7,900",551,"9,500"
第4736回,08/25(金),253,72,"95,000",492,"15,800",155,"55,400",980,"7,900",607,"9,500"
第4735回,08/24(木),432,60,"111,500",391,"18,500",123,"65,000",811,"9,200",342,"11,100"
第4734回,08/23(水),409,68,"91,500",369,"15,200",212,"53,300",673,"7,600",498,"9,100"
第4733回,08/22(火),15,36,"124,300",334,"20,700",122,"72,500",740,"10,300",369,"12,400"
第4732回,08/21(月),933,53,"120,800",291,"40,200",119,"80,500",323,"20,100",571,"12,000"
第4731回,08/18(金),105,91,"85,500",420,"14,200",249,"49,800",823,"7,100",456,"8,500"
第4730回,08/17(木),711,98,"72,100",341,"24,000",177,"48,000",499,"12,000",711,"7,200"
第4729回,08/16(水),508,72,"96,700",423,"16,100",173,"56,400",775,"8,000",446,"9,600"
第4728回,08/15(火),201,65,"110,000",385,"18,300",118,"64,100",722,"9,100",430,"11,000"
第4727回,08/14(月),693,71,"80,800",636,"13,400",214,"47,100","1,378","6,700",325,"8,000"
第4726回,08/11(金),347,47,"100,700",381,"16,700",148,"58,700",818,"8,300",439,"10,000"
第4725回,08/10(木),229,67,"92,800",256,"30,900",152,"61,800",277,"15,400",560,"9,200"
第4724回,08/09(水),97,40,"107,600",408,"17,900",132,"62,700",865,"8,900",365,"10,700"
第4723回,08/08(火),594,56,"82,500",427,"13,700",233,"48,100",971,"6,800",377,"8,200"
第4722回,08/07(月),207,62,"109,300",399,"18,200",178,"63,700",708,"9,100",494,"10,900"
第4721回,08/04(金),82,28,"134,300",388,"22,300",110,"78,300",864,"11,100",293,"13,400"
第4720回,08/03(木),661,93,"105,400",219,"35,100",95,"70,200",303,"17,500",339,"10,500"
第4719回,08/02(水),722,101,"75,200",269,"25,000",199,"50,100",375,"12,500",580,"7,500"
第4718回,08/01(火),463,75,"87,000",479,"14,500",154,"50,700",905,"7,200",506,"8,700"
第4717回,07/31(月),718,134,"62,600",765,"10,400",322,"36,500","1,402","5,200",689,"6,200"
第4716回,07/28(金),679,52,"109,400",383,"18,200",175,"63,800",697,"9,100",406,"10,900"
第4715回,07/27(木),593,73,"105,700",338,"17,600",139,"61,600",721,"8,800",402,"10,500"
第4714回,07/26(水),898,64,"94,500",208,"31,500",116,"63,000",223,"15,700",954,"9,400"
第4713回,07/25(火),661,54,"105,600",251,"35,200",116,"70,400",346,"17,600",308,"10,500"
第4712回,07/24(月),381,79,"76,100",772,"12,600",206,"44,300","1,626","6,300",389,"7,600"
第4711回,07/21(金),109,123,"66,800",600,"11,100",276,"38,900",980,"5,500",462,"6,600"
第4710回,07/20(木),8,65,"124,200",175,"41,400",97,"82,800",243,"20,700",335,"12,400"
第4709回,07/19(水),332,51,"113,700",225,"37,900",104,"75,800",270,"18,900",456,"11,300"
第4708回,07/18(火),880,57,"106,100",243,"35,300",119,"70,700",272,"17,600",334,"10,600"
第4707回,07/17(月),401,100,"85,900",510,"14,300",218,"50,100",884,"7,100",432,"8,500"
第4706回,07/14(金),458,54,"97,400",409,"16,200",199,"56,800",892,"8,100",506,"9,700"
第4705回,07/13(木),159,85,"87,500",455,"14,500",150,"51,000",916,"7,200",542,"8,700"
第4704回,07/12(水),904,48,"124,500",298,"20,700",141,"72,600",680,"10,300",334,"12,400"
第4703回,07/11(火),10,183,"60,700",304,"20,200",242,"40,400",373,"10,100",429,"6,000"
第4702回,07/10(月),844,48,"107,800",332,"35,900",122,"71,800",372,"17,900",775,"10,700"
第4701回,07/07(金),346,61,"104,100",414,"17,300",183,"60,700",880,"8,600",471,"10,400"
第4700回,07/06(木),817,92,"75,100",562,"12,500",234,"43,800","1,081","6,200",584,"7,500"
