ナンバーズ３４,データダウンロードサービス,http://toe.jp/numbers34/,,,,,,,,,,
回別,抽選日,当せん番号,ストレート口数,ストレート金額,ボックス口数,ボックス金額,セットストレート口数,セットストレート金額,セットボックス口数,セットボックス金額,ミニ口数,ミニ金額
第4262回,10/27(火),906,48,"116,300",360,"19,300",161,"67,800",751,"9,600",408,"11,600"
第4261回,10/26(月),370,96,"100,000",624,"16,600",140,"58,300","1,365","8,300",542,"10,000"
第4260回,10/23(金),686,60,"120,400",217,"40,100",141,"80,200",263,"20,000",477,"12,000"
第4259回,10/22(木),396,69,"71,400",659,"11,900",250,"41,600","1,623","5,900",432,"7,100"
第4258回,10/21(水),458,78,"86,300",518,"14,300",233,"50,300","1,010","7,100",385,"8,600"
第4257回,10/20(火),504,57,"115,200",327,"19,200",159,"67,200",717,"9,600",370,"11,500"
第4256回,10/19(月),363,83,"114,700",288,"38,200",149,"76,400",352,"19,100",438,"11,400"
第4255回,10/16(金),503,112,"81,400",397,"13,500",296,"47,400",959,"6,700",314,"8,100"
第4254回,10/15(木),288,58,"112,700",238,"37,500",121,"75,100",355,"18,700",571,"11,200"
第4253回,10/14(水),119,111,"73,600",268,"24,500",250,"49,000",293,"12,200",458,"7,300"
第4252回,10/13(火),418,96,"72,000",431,"12,000",248,"42,000",903,"6,000",487,"7,200"
第4251回,10/12(月),185,67,"88,900",635,"14,800",195,"51,800","1,270","7,400",449,"8,800"
第4250回,10/09(金),658,50,"99,700",500,"16,600",182,"58,100","1,000","8,300",433,"9,900"
第4249回,10/08(木),321,98,"84,900",466,"14,100",187,"49,500","1,031","7,000",328,"8,400"
第4248回,10/07(水),425,98,"87,500",381,"14,500",229,"51,000",631,"7,200",505,"8,700"
第4247回,10/06(火),524,110,"80,000",451,"13,300",216,"46,600",828,"6,600",438,"8,000"
第4246回,10/05(月),173,67,"97,000",701,"16,100",190,"56,500","1,316","8,000",437,"9,700"
第4245回,10/02(金),468,88,"81,700",454,"13,600",286,"47,600",861,"6,800",413,"8,100"
第4244回,10/01(木),203,51,"110,400",354,"18,400",170,"64,400",688,"9,200",429,"11,000"
第4243回,09/30(水),945,49,"126,600",344,"21,100",104,"73,800",711,"10,500",549,"12,600"
第4242回,09/29(火),166,58,"119,900",205,"39,900",107,"79,900",260,"19,900",467,"11,900"
第4241回,09/28(月),191,50,"119,000",337,"39,600",113,"79,300",494,"19,800",450,"11,900"
第4240回,09/25(金),792,87,"86,500",522,"14,400",161,"50,400","1,206","7,200",441,"8,600"
第4239回,09/24(木),924,258,"38,300",649,"6,300",616,"22,300",897,"3,100",581,"3,800"
第4238回,09/23(水),144,49,"104,700",208,"34,900",113,"69,800",310,"17,400",587,"10,400"
第4237回,09/22(火),264,55,"90,000",555,"15,000",119,"52,500","1,090","7,500",323,"9,000"
第4236回,09/21(月),243,59,"95,800",544,"15,900",143,"55,800","1,039","7,900",742,"9,500"
第4235回,09/18(金),302,54,"128,300",335,"21,300",141,"74,800",748,"10,600",250,"12,800"
第4234回,09/17(木),306,95,"86,100",326,"14,300",221,"50,200",832,"7,100",318,"8,600"
第4233回,09/16(水),117,213,"51,000",326,"17,000",377,"34,000",361,"8,500",639,"5,100"
第4232回,09/15(火),759,65,"108,000",423,"18,000",146,"63,000",795,"9,000",329,"10,800"
第4231回,09/14(月),820,98,"111,000",426,"18,500",201,"64,700",838,"9,200",348,"11,100"
第4230回,09/11(金),549,55,"96,300",499,"16,000",216,"56,100","1,008","8,000",426,"9,600"
第4229回,09/10(木),468,101,"78,700",469,"13,100",264,"45,900",848,"6,500",351,"7,800"
第4228回,09/09(水),896,44,"120,400",304,"20,000",143,"70,200",680,"10,000",421,"12,000"
第4227回,09/08(火),423,63,"95,600",419,"15,900",183,"55,700",857,"7,900",345,"9,500"
第4226回,09/07(月),678,147,"79,200",511,"13,200",292,"46,200",839,"6,600",790,"7,900"
第4225回,09/04(金),489,68,"97,200",441,"16,200",217,"56,700",790,"8,100",531,"9,700"
第4224回,09/03(木),890,73,"68,800",604,"11,400",281,"40,100","1,359","5,700",648,"6,800"
第4223回,09/02(水),787,36,"138,900",174,"46,300",125,"92,600",270,"23,100",362,"13,800"
第4222回,09/01(火),104,109,"78,500",436,"13,000",264,"45,700",852,"6,500",309,"7,800"
第4221回,08/31(月),763,79,"113,700",534,"18,900",142,"66,300","1,004","9,400",486,"11,300"
第4220回,08/28(金),169,62,"84,600",501,"14,100",197,"49,300","1,085","7,000",860,"8,400"
第4219回,08/27(木),778,61,"113,200",217,"37,700",161,"75,400",232,"18,800",354,"11,300"
第4218回,08/26(水),920,106,"86,000",418,"14,300",224,"50,100",844,"7,100",350,"8,600"
第4217回,08/25(火),282,63,"99,600",265,"33,200",110,"66,400",450,"16,600",373,"9,900"
第4216回,08/24(月),315,216,"52,500",815,"8,700",414,"30,600","1,269","4,300","1,153","5,200"
第4215回,08/21(金),372,82,"82,100",545,"13,600",207,"47,800","1,321","6,800",451,"8,200"
第4214回,08/20(木),214,82,"82,000",489,"13,600",220,"47,800",953,"6,800",583,"8,200"
第4213回,08/19(水),580,72,"91,600",546,"15,200",162,"53,400",944,"7,600",476,"9,100"
第4212回,08/18(火),978,54,"86,100",594,"14,300",177,"50,200","1,134","7,100",571,"8,600"
第4211回,08/17(月),507,95,"104,100",451,"17,300",216,"60,700",818,"8,600",398,"10,400"
第4210回,08/14(金),859,55,"82,700",622,"13,700",213,"48,200","1,421","6,800",397,"8,200"
第4209回,08/13(木),809,79,"56,100",648,"9,300",363,"32,700","1,477","4,600",412,"5,600"
第4208回,08/12(水),119,147,"64,700",319,"21,500",273,"43,100",294,"10,700",290,"6,400"
第4207回,08/11(火),419,78,"86,500",355,"14,400",218,"50,400",798,"7,200",463,"8,600"
第4206回,08/10(月),567,90,"105,500",445,"17,500",206,"61,500",709,"8,700",392,"10,500"
第4205回,08/07(金),802,84,"84,900",414,"14,100",247,"49,500",850,"7,000",384,"8,400"
第4204回,08/06(木),426,80,"76,000",504,"12,600",252,"44,300",976,"6,300",418,"7,600"
第4203回,08/05(水),275,85,"71,400",635,"11,900",215,"41,600","1,366","5,900",475,"7,100"
第4202回,08/04(火),907,59,"119,900",314,"19,900",136,"69,900",580,"9,900",333,"11,900"
第4201回,08/03(月),336,119,"95,100",257,"31,700",172,"63,400",228,"15,800",681,"9,500"
第4200回,07/31(金),4,67,"90,700",336,"30,200",184,"60,400",384,"15,100",317,"9,000"
第4199回,07/30(木),409,69,"98,500",338,"16,400",208,"57,400",679,"8,200",416,"9,800"
第4198回,07/29(水),461,67,"104,900",454,"17,400",133,"61,100",808,"8,700",405,"10,400"
第4197回,07/28(火),80,36,"147,700",167,"49,200",97,"98,400",219,"24,600",332,"14,700"
第4196回,07/27(月),287,77,"77,200",887,"12,800",204,"45,000","1,681","6,400",565,"7,700"
第4195回,07/24(金),468,80,"90,400",397,"15,000",206,"52,700",846,"7,500",570,"9,000"
第4194回,07/23(木),300,111,"77,400",252,"25,800",180,"51,600",254,"12,900",776,"7,700"
第4193回,07/22(水),13,57,"120,400",365,"20,000",109,"70,200",825,"10,000",286,"12,000"
第4192回,07/21(火),895,51,"131,800",307,"21,900",86,"76,800",711,"10,900",406,"13,100"
第4191回,07/20(月),844,67,"104,700",279,"34,900",120,"69,800",348,"17,400",724,"10,400"
第4190回,07/17(金),598,67,"98,900",392,"16,400",163,"57,600",756,"8,200",688,"9,800"
第4189回,07/16(木),334,84,"76,900",325,"25,600",235,"51,200",264,"12,800",427,"7,600"
第4188回,07/15(水),23,56,"113,000",377,"18,800",139,"65,900",813,"9,400",458,"11,300"
第4187回,07/14(火),279,114,"65,200",489,"10,800",253,"38,000","1,018","5,400",825,"6,500"
第4186回,07/13(月),721,220,"50,800",926,"8,400",445,"29,600","1,583","4,200",750,"5,000"
第4185回,07/10(金),818,131,"76,800",274,"25,600",260,"51,200",301,"12,800",536,"7,600"
第4184回,07/09(木),590,43,"104,000",500,"17,300",151,"60,600","1,007","8,600",425,"10,400"
第4183回,07/08(水),583,87,"66,300",649,"11,000",313,"38,600","1,433","5,500",496,"6,600"
第4182回,07/07(火),97,60,"119,600",387,"19,900",118,"69,700",869,"9,900",370,"11,900"
第4181回,07/06(月),174,87,"79,900",924,"13,300",193,"46,600","1,795","6,600",616,"7,900"
第4180回,07/03(金),447,78,"108,000",227,"36,000",142,"72,000",270,"18,000",638,"10,800"
第4179回,07/02(木),516,97,"89,400",452,"14,900",224,"52,100",869,"7,400",440,"8,900"
第4178回,07/01(水),470,62,"106,800",414,"17,800",139,"62,300",896,"8,900",626,"10,600"
第4177回,06/30(火),686,60,"144,000",169,"48,000",104,"96,000",235,"24,000",299,"14,400"
第4176回,06/29(月),319,142,"79,100",648,"13,100",277,"46,100","1,131","6,500",756,"7,900"
第4175回,06/26(金),86,61,"112,200",466,"18,700",149,"65,400",873,"9,300",417,"11,200"
第4174回,06/25(木),885,80,"111,600",221,"37,200",122,"74,400",304,"18,600",516,"11,100"
第4173回,06/24(水),691,64,"97,800",490,"16,300",161,"57,000","1,125","8,100",383,"9,700"
第4172回,06/23(火),454,80,"96,500",266,"32,100",140,"64,300",351,"16,000",438,"9,600"
第4171回,06/22(月),880,78,"107,600",306,"35,800",171,"71,700",340,"17,900",751,"10,700"
第4170回,06/19(金),258,108,"74,500",656,"12,400",268,"43,400","1,157","6,200",421,"7,400"
第4169回,06/18(木),313,137,"65,200",373,"21,700",255,"43,400",339,"10,800",807,"6,500"
第4168回,06/17(水),451,81,"91,400",496,"15,200",194,"53,300","1,094","7,600",473,"9,100"
第4167回,06/16(火),589,89,"89,300",410,"14,800",226,"52,000",864,"7,400",559,"8,900"
第4166回,06/15(月),690,74,"113,200",492,"18,800",185,"66,000",956,"9,400",605,"11,300"
第4165回,06/12(金),549,102,"79,300",462,"13,200",269,"46,200",983,"6,600",408,"7,900"
第4164回,06/11(木),402,85,"96,300",373,"16,000",195,"56,100",747,"8,000",347,"9,600"
第4163回,06/10(水),455,62,"103,100",235,"34,300",120,"68,700",256,"17,100",817,"10,300"
第4162回,06/09(火),240,92,"82,400",501,"13,700",196,"48,000","1,058","6,800",316,"8,200"
第4161回,06/08(月),81,63,"105,200",687,"17,500",146,"61,300","1,296","8,700",387,"10,500"
第4160回,06/05(金),191,87,"92,000",324,"30,600",128,"61,300",527,"15,300",327,"9,200"
第4159回,06/04(木),858,60,"109,100",240,"36,300",141,"72,700",313,"18,100",429,"10,900"
第4158回,06/03(水),537,81,"81,200",639,"13,500",173,"47,300","1,216","6,700",440,"8,100"
第4157回,06/02(火),641,74,"116,700",385,"19,400",78,"68,000",811,"9,700",471,"11,600"
第4156回,06/01(月),465,95,"100,200",573,"16,700",190,"58,400",996,"8,300",555,"10,000"
第4155回,05/29(金),778,83,"93,200",252,"31,000",179,"62,100",300,"15,500",630,"9,300"
第4154回,05/28(木),384,63,"105,600",376,"17,600",176,"61,600",729,"8,800",471,"10,500"
第4153回,05/27(水),309,70,"94,500",416,"15,700",230,"55,100",785,"7,800",455,"9,400"
第4152回,05/26(火),166,56,"104,400",218,"34,800",127,"69,600",359,"17,400",658,"10,400"
第4151回,05/25(月),362,114,"88,800",695,"14,800",188,"51,800","1,382","7,400",471,"8,800"
第4150回,05/22(金),977,81,"96,400",267,"32,100",161,"64,200",282,"16,000",594,"9,600"
第4149回,05/21(木),934,60,"97,300",436,"16,200",159,"56,700",987,"8,100",588,"9,700"
第4148回,05/20(水),576,40,"127,500",423,"21,200",105,"74,300",749,"10,600",447,"12,700"
第4147回,05/19(火),433,91,"95,900",210,"31,900",103,"63,900",269,"15,900",839,"9,500"
第4146回,05/18(月),991,77,"105,400",292,"35,100",145,"70,200",427,"17,500",706,"10,500"
第4145回,05/15(金),735,109,"75,500",652,"12,500",246,"44,000","1,101","6,200",502,"7,500"
第4144回,05/14(木),361,67,"96,800",467,"16,100",149,"56,400","1,062","8,000",407,"9,600"
第4143回,05/13(水),595,49,"136,400",206,"45,400",93,"90,900",280,"22,700",370,"13,600"
第4142回,05/12(火),800,67,"96,300",204,"32,100",140,"64,200",241,"16,000",830,"9,600"
第4141回,05/11(月),356,111,"103,700",602,"17,200",195,"60,400",838,"8,600",427,"10,300"
第4140回,05/08(金),440,110,"79,800",347,"26,600",192,"53,200",526,"13,300",431,"7,900"
第4139回,05/07(木),905,47,"94,300",477,"15,700",208,"55,000","1,035","7,800",412,"9,400"
第4138回,05/06(水),906,52,"129,800",329,"21,600",113,"75,700",617,"10,800",381,"12,900"
第4137回,05/05(火),856,43,"105,400",384,"17,500",150,"61,400",790,"8,700",508,"10,500"
第4136回,05/04(月),636,59,"118,700",262,"39,500",122,"79,100",280,"19,700",692,"11,800"
第4135回,05/01(金),897,46,"103,000",586,"17,100",165,"60,000","1,239","8,500",415,"10,300"
第4134回,04/30(木),242,57,"114,500",275,"38,100",105,"76,300",402,"19,000",442,"11,400"
第4133回,04/29(水),899,72,"77,400",296,"25,800",199,"51,600",344,"12,900",869,"7,700"
第4132回,04/28(火),450,50,"125,900",408,"20,900",130,"73,400",821,"10,400",298,"12,500"
第4131回,04/27(月),190,58,"102,800",638,"17,100",187,"59,900","1,235","8,500",761,"10,200"
第4130回,04/24(金),153,113,"72,800",756,"12,100",207,"42,400","1,580","6,000",477,"7,200"
第4129回,04/23(木),81,56,"114,200",455,"19,000",109,"66,600","1,067","9,500",360,"11,400"
第4128回,04/22(水),220,107,"81,900",328,"27,300",179,"54,600",416,"13,600",463,"8,100"
第4127回,04/21(火),222,521,"62,800",0,0,0,0,0,0,728,"6,200"
第4126回,04/20(月),164,96,"85,000",677,"14,100",268,"49,500","1,286","7,000",594,"8,500"
第4125回,04/17(金),348,66,"100,200",495,"16,700",201,"58,400",947,"8,300",504,"10,000"
第4124回,04/16(木),9,78,"116,400",223,"38,800",148,"77,600",306,"19,400",410,"11,600"
第4123回,04/15(水),675,91,"86,900",599,"14,400",190,"50,600","1,054","7,200",659,"8,600"
第4122回,04/14(火),986,41,"116,500",336,"19,400",146,"67,900",795,"9,700",412,"11,600"
第4121回,04/13(月),507,87,"106,300",481,"17,700",225,"62,000",787,"8,800",410,"10,600"
第4120回,04/10(金),658,76,"98,000",446,"16,300",169,"57,100",848,"8,100",540,"9,800"
第4119回,04/09(木),988,61,"100,900",234,"33,600",108,"67,200",275,"16,800","1,003","10,000"
第4118回,04/08(水),521,64,"97,200",500,"16,200",157,"56,700",951,"8,100",417,"9,700"
第4117回,04/07(火),589,85,"92,100",344,"15,300",222,"53,700",732,"7,600",410,"9,200"
第4116回,04/06(月),159,95,"92,700",686,"15,400",228,"54,000","1,188","7,700",482,"9,200"
第4115回,04/03(金),845,78,"95,100",491,"15,800",211,"55,400",876,"7,900",395,"9,500"
第4114回,04/02(木),677,99,"88,000",278,"29,300",188,"58,600",371,"14,600",466,"8,800"
第4113回,04/01(水),336,83,"94,600",249,"31,500",169,"63,000",271,"15,700",645,"9,400"
第4112回,03/31(火),7,87,"106,600",257,"35,500",150,"71,000",250,"17,700",288,"10,600"
第4111回,03/30(月),187,63,"95,900",762,"15,900",186,"55,900","1,396","7,900",664,"9,500"
第4110回,03/27(金),928,113,"77,100",550,"12,800",276,"44,900",975,"6,400",603,"7,700"
第4109回,03/26(木),908,63,"83,900",514,"13,900",278,"48,900","1,154","6,900",439,"8,300"
第4108回,03/25(水),427,137,"66,900",662,"11,100",283,"39,000","1,193","5,500",512,"6,600"
第4107回,03/24(火),245,69,"91,800",514,"15,300",186,"53,500","1,002","7,600",334,"9,100"
第4106回,03/23(月),11,73,"114,100",316,"38,000",127,"76,000",471,"19,000",626,"11,400"
第4105回,03/20(金),663,99,"99,000",228,"33,000",187,"66,000",305,"16,500",457,"9,900"
第4104回,03/19(木),339,106,"84,000",267,"28,000",209,"56,000",259,"14,000",525,"8,400"
第4103回,03/18(水),944,80,"82,500",358,"27,500",171,"55,000",454,"13,700",719,"8,200"
第4102回,03/17(火),607,50,"135,600",360,"22,600",119,"79,100",743,"11,300",365,"13,500"
第4101回,03/16(月),813,133,"68,900","1,083","11,400",341,"40,100","1,845","5,700",580,"6,800"
第4100回,03/13(金),302,86,"124,100",598,"20,600",226,"72,300","1,105","10,300",367,"12,400"
第4099回,03/12(木),553,70,"126,600",200,"42,200",96,"84,400",262,"21,100",386,"12,600"
第4098回,03/11(水),623,135,"69,700",509,"11,600",269,"40,600","1,031","5,800",484,"6,900"
第4097回,03/10(火),100,62,"113,600",193,"37,800",106,"75,700",214,"18,900",788,"11,300"
第4096回,03/09(月),862,103,"87,500",738,"14,500",203,"51,000","1,232","7,200",508,"8,700"
第4095回,03/06(金),526,122,"68,700",647,"11,400",318,"40,000","1,162","5,700",479,"6,800"
第4094回,03/05(木),751,78,"83,800",611,"13,900",163,"48,800","1,349","6,900",537,"8,300"
第4093回,03/04(水),227,140,"60,500",326,"20,100",364,"40,300",392,"10,000",612,"6,000"
第4092回,03/03(火),462,114,"64,600",572,"10,700",207,"37,600","1,102","5,300","1,393","6,400"
第4091回,03/02(月),161,78,"125,800",267,"41,900",128,"83,800",414,"20,900",450,"12,500"
第4090回,02/27(金),311,152,"66,600",393,"22,200",279,"44,400",432,"11,100",647,"6,600"
第4089回,02/26(木),574,45,"121,400",379,"20,200",113,"70,800",901,"10,100",495,"12,100"
第4088回,02/25(水),824,116,"76,200",555,"12,700",275,"44,400","1,019","6,300",509,"7,600"
第4087回,02/24(火),904,94,"99,200",420,"16,500",159,"57,800",771,"8,200",466,"9,900"
第4086回,02/23(月),618,160,"68,500",670,"11,400",374,"39,900","1,168","5,700",999,"6,800"
第4085回,02/20(金),829,126,"80,000",522,"13,300",259,"46,600","1,026","6,600",480,"8,000"
第4084回,02/19(木),521,126,"67,800",684,"11,300",275,"39,500","1,375","5,600",482,"6,700"
第4083回,02/18(水),682,60,"95,600",540,"15,900",166,"55,700","1,170","7,900",477,"9,500"
第4082回,02/17(火),845,89,"93,000",415,"15,500",211,"54,200",822,"7,700",433,"9,300"
第4081回,02/16(月),202,153,"89,400",383,"29,800",239,"59,600",385,"14,900",431,"8,900"
第4080回,02/13(金),539,75,"99,700",479,"16,600",199,"58,100","1,004","8,300",569,"9,900"
第4079回,02/12(木),349,79,"101,300",419,"16,800",155,"59,000",966,"8,400",414,"10,100"
第4078回,02/11(水),266,60,"112,900",205,"37,600",117,"75,200",274,"18,800",538,"11,200"
第4077回,02/10(火),583,86,"71,200",632,"11,800",238,"41,500","1,206","5,900",708,"7,100"
第4076回,02/09(月),377,87,"121,800",227,"40,600",142,"81,200",337,"20,300",505,"12,100"
第4075回,02/06(金),201,76,"104,100",480,"17,300",165,"60,700",950,"8,600",454,"10,400"
第4074回,02/05(木),690,49,"121,000",349,"20,100",153,"70,500",710,"10,000",386,"12,100"
第4073回,02/04(水),365,101,"97,900",439,"16,300",189,"57,100",744,"8,100",335,"9,700"
第4072回,02/03(火),250,53,"120,800",378,"20,100",121,"70,400",753,"10,000",500,"12,000"
第4071回,02/02(月),192,92,"82,900",811,"13,800",239,"48,300","1,542","6,900",532,"8,200"
第4070回,01/30(金),355,60,"109,800",263,"36,600",125,"73,200",239,"18,300",595,"10,900"
第4069回,01/29(木),809,65,"82,200",560,"13,700",255,"47,900","1,153","6,800",420,"8,200"
第4068回,01/28(水),740,56,"132,800",359,"22,100",108,"77,400",854,"11,000",283,"13,200"
第4067回,01/27(火),722,92,"73,200",334,"24,400",249,"48,800",515,"12,200",421,"7,300"
第4066回,01/26(月),996,71,"133,500",239,"44,500",135,"89,000",253,"22,200",667,"13,300"
第4065回,01/23(金),432,77,"91,100",529,"15,100",201,"53,100",995,"7,500",553,"9,100"
第4064回,01/22(木),849,89,"103,000",353,"17,100",119,"60,000",864,"8,500",417,"10,300"
第4063回,01/21(水),772,53,"113,700",225,"37,900",128,"75,800",327,"18,900",430,"11,300"
第4062回,01/20(火),597,88,"95,100",375,"15,800",159,"55,400",708,"7,900",670,"9,500"
第4061回,01/19(月),222,699,"59,700",0,0,0,0,0,0,656,"5,900"
第4060回,01/16(金),48,57,"133,400",367,"22,200",112,"77,800",740,"11,100",501,"13,300"
第4059回,01/15(木),765,48,"147,400",321,"24,500",94,"85,900",660,"12,200",280,"14,700"
第4058回,01/14(水),271,78,"76,800",643,"12,800",230,"44,800","1,589","6,400",395,"7,600"
第4057回,01/13(火),836,65,"83,200",555,"13,800",207,"48,500","1,057","6,900",668,"8,300"
第4056回,01/12(月),763,84,"111,500",508,"18,500",172,"65,000",887,"9,200",511,"11,100"
第4055回,01/09(金),31,65,"98,800",623,"16,400",118,"57,600","1,298","8,200",441,"9,800"
第4054回,01/08(木),211,83,"99,300",267,"33,100",132,"66,200",356,"16,500",406,"9,900"
第4053回,01/07(水),826,102,"84,900",446,"14,100",254,"49,500",894,"7,000",439,"8,400"
第4052回,01/06(火),202,113,"85,300",299,"28,400",177,"56,800",343,"14,200",327,"8,500"
第4051回,01/05(月),25,106,"102,400",519,"17,000",204,"59,700",991,"8,500",607,"10,200"
第4050回,2014/12/30(火),642,101,"76,000",732,"12,600",196,"44,300","1,447","6,300",555,"7,600"
第4049回,12/29(月),537,115,"82,700",876,"13,700",231,"48,200","1,519","6,800",554,"8,200"
第4048回,12/26(金),167,119,"72,200",568,"12,000",291,"42,100","1,158","6,000",806,"7,200"
第4047回,12/25(木),728,137,"61,500",619,"10,200",407,"35,800","1,073","5,100",586,"6,100"
第4046回,12/24(水),516,121,"84,400",445,"14,000",239,"49,200",914,"7,000",426,"8,400"
第4045回,12/23(火),330,170,"63,300",282,"21,100",261,"42,200",320,"10,500",464,"6,300"
第4044回,12/22(月),853,113,"80,800",880,"13,400",196,"47,100","1,779","6,700",520,"8,000"
第4043回,12/19(金),929,124,"91,800",219,"30,600",201,"61,200",274,"15,300",480,"9,100"
第4042回,12/18(木),983,51,"88,500",616,"14,700",167,"51,600","1,496","7,300",332,"8,800"
第4041回,12/17(水),235,111,"84,500",483,"14,000",215,"49,200",986,"7,000",365,"8,400"
第4040回,12/16(火),889,79,"115,300",173,"38,400",128,"76,800",218,"19,200",460,"11,500"
第4039回,12/15(月),511,162,"71,100",427,"23,700",281,"47,400",591,"11,800",827,"7,100"
第4038回,12/12(金),410,223,"56,400",682,"9,400",339,"32,900","1,194","4,700",498,"5,600"
第4037回,12/11(木),840,79,"118,300",291,"19,700",124,"69,000",678,"9,800",335,"11,800"
第4036回,12/10(水),501,70,"98,100",379,"16,300",185,"57,200",901,"8,100",440,"9,800"
第4035回,12/09(火),312,115,"83,100",422,"13,800",182,"48,400",802,"6,900",352,"8,300"
第4034回,12/08(月),900,80,"120,300",202,"40,100",133,"80,200",333,"20,000",542,"12,000"
第4033回,12/05(金),384,67,"107,700",400,"17,900",166,"62,800",829,"8,900",350,"10,700"
第4032回,12/04(木),916,86,"76,300",432,"12,700",265,"44,500",930,"6,300",334,"7,600"
第4031回,12/03(水),76,57,"123,400",299,"20,500",135,"71,900",673,"10,200",359,"12,300"
第4030回,12/02(火),725,117,"63,900",508,"10,600",314,"37,200","1,022","5,300",456,"6,300"
第4029回,12/01(月),913,114,"76,300",712,"12,700",276,"44,500","1,365","6,300",442,"7,600"
第4028回,11/28(金),990,69,"104,300",203,"34,700",174,"69,500",309,"17,300",424,"10,400"
第4027回,11/27(木),384,61,"108,800",430,"18,100",137,"63,400",732,"9,000",414,"10,800"
第4026回,11/26(水),372,67,"81,200",518,"13,500",177,"47,300","1,205","6,700",423,"8,100"
第4025回,11/25(火),303,82,"81,400",286,"27,100",151,"54,200",297,"13,500",537,"8,100"
第4024回,11/24(月),0,289,"102,400",0,0,0,0,0,0,817,"10,200"
第4023回,11/21(金),426,96,"81,100",496,"13,500",207,"47,300",982,"6,700",489,"8,100"
第4022回,11/20(木),536,72,"102,700",353,"17,100",153,"59,900",669,"8,500",432,"10,200"
第4021回,11/19(水),95,48,"99,700",482,"16,600",162,"58,100","1,104","8,300",264,"9,900"
第4020回,11/18(火),618,133,"63,000",440,"10,500",278,"36,700",882,"5,200",755,"6,300"
第4019回,11/17(月),335,136,"81,800",342,"27,200",230,"54,500",284,"13,600",524,"8,100"
第4018回,11/14(金),194,75,"100,100",380,"16,600",167,"58,300",865,"8,300",514,"10,000"
第4017回,11/13(木),277,95,"79,600",292,"26,500",179,"53,000",372,"13,200",560,"7,900"
第4016回,11/12(水),112,184,"48,100",443,"16,000",388,"32,000",390,"8,000",658,"4,800"
第4015回,11/11(火),181,96,"81,700",308,"27,200",157,"54,400",450,"13,600",320,"8,100"
第4014回,11/10(月),611,137,"73,400",357,"24,400",240,"48,900",511,"12,200",726,"7,300"
第4013回,11/07(金),866,53,"125,100",200,"41,700",111,"83,400",264,"20,800",518,"12,500"
第4012回,11/06(木),551,140,"54,500",457,"18,100",327,"36,300",470,"9,000",470,"5,400"
第4011回,11/05(水),861,49,"104,700",465,"17,400",124,"61,000","1,149","8,700",438,"10,400"
第4010回,11/04(火),832,71,"93,800",452,"15,600",152,"54,700",957,"7,800",469,"9,300"
第4009回,11/03(月),40,67,"138,100",205,"46,000",97,"92,000",289,"23,000",407,"13,800"
第4008回,10/31(金),885,57,"108,900",235,"36,300",157,"72,600",277,"18,100",538,"10,800"
第4007回,10/30(木),274,94,"71,600",582,"11,900",271,"41,700","1,186","5,900",396,"7,100"
第4006回,10/29(水),9,60,"119,600",179,"39,800",137,"79,700",285,"19,900",384,"11,900"
第4005回,10/28(火),260,64,"130,300",282,"21,700",121,"76,000",642,"10,800",299,"13,000"
第4004回,10/27(月),444,443,"87,400",0,0,0,0,0,0,666,"8,700"
第4003回,10/24(金),799,66,"123,300",182,"41,100",105,"82,200",264,"20,500",672,"12,300"
第4002回,10/23(木),336,60,"126,100",145,"42,000",90,"84,000",226,"21,000",685,"12,600"
第4001回,10/22(水),373,144,"73,900",257,"24,600",193,"49,200",284,"12,300",495,"7,300"
第4000回,10/21(火),404,55,"105,400",235,"35,100",128,"70,200",423,"17,500",360,"10,500"
第3999回,10/20(月),717,118,"97,600",279,"32,500",195,"65,000",270,"16,200",622,"9,700"
第3998回,10/17(金),908,112,"77,700",513,"12,900",254,"45,300","1,231","6,400",392,"7,700"
第3997回,10/16(木),963,95,"80,200",527,"13,300",227,"46,700","1,174","6,600",409,"8,000"
第3996回,10/15(水),893,113,"60,800",677,"10,100",371,"35,400","1,279","5,000",509,"6,000"
第3995回,10/14(火),369,164,"46,700",609,"7,700",460,"27,200","1,129","3,800",393,"4,600"
第3994回,10/13(月),509,73,"92,000",508,"15,300",196,"53,600",987,"7,600",369,"9,200"
第3993回,10/10(金),782,89,"78,600",581,"13,100",209,"45,800","1,329","6,500",481,"7,800"
第3992回,10/09(木),178,133,"57,700",635,"9,600",333,"33,600","1,276","4,800",537,"5,700"
第3991回,10/08(水),148,91,"84,200",551,"14,000",179,"49,100","1,096","7,000",448,"8,400"
第3990回,10/07(火),890,72,"83,300",459,"13,800",215,"48,500","1,095","6,900",441,"8,300"
第3989回,10/06(月),65,69,"121,100",445,"20,100",134,"70,600",835,"10,000",451,"12,100"
第3988回,10/03(金),745,60,"111,500",436,"18,500",162,"65,000",807,"9,200",333,"11,100"
第3987回,10/02(木),45,64,"114,400",345,"19,000",122,"66,700",734,"9,500",495,"11,400"
第3986回,10/01(水),354,84,"93,900",451,"15,600",162,"54,700",872,"7,800",481,"9,300"
第3985回,09/30(火),66,180,"57,400",357,"19,100",186,"38,200",445,"9,500","1,089","5,700"
第3984回,09/29(月),786,92,"109,600",447,"18,200",192,"63,900",857,"9,100",449,"10,900"
第3983回,09/26(金),517,85,"74,400",614,"12,400",288,"43,400","1,143","6,200",526,"7,400"
第3982回,09/25(木),113,113,"84,300",232,"28,100",203,"56,200",318,"14,000",369,"8,400"
